epoch,lr,loss,fire_loss,other_loss,effective_rollout_steps,teacher_forcing_ratio,prob_mae_mean,best_iou_mean,spread_iou_at_best,dice_at_best,recall_at_best,mpd_at_best,save_thr,ious_by_thr
4,0.0003,2.4939971446990965,1.1879438638687134,0.2632375627756119,1,0.9714285714285714,0.4041643410156935,0.8284968039975191,0.33565134286744386,0.8906159480555794,0.8711131759413644,1.2886414919126827,0.6,"{0.2: 0.1320378760851454, 0.3: 0.1320333413050273, 0.4: 0.1685817065067389, 0.5: 0.7286073411991698, 0.6: 0.8284968039975191, 0.7: 0.7246606986457673, 0.8: 0.37670956237355124}"
9,0.0002954445583636515,1.873325729370117,0.8865704894065857,0.24309003949165345,1,0.9357142857142857,0.32169141524877304,0.8800554057927726,0.431179079912137,0.9275753847177293,0.9368879500401105,0.7760527033874843,0.6,"{0.2: 0.13204585247706835, 0.3: 0.14414324190800895, 0.4: 0.533106962515705, 0.5: 0.8345783023185643, 0.6: 0.8800554057927726, 0.7: 0.8544545856565989, 0.8: 0.7842073690791971}"
14,0.0002774275491977922,1.5817407369613647,0.7073123216629028,0.22823118269443513,1,0.9,0.3115267302745428,0.8835288197232442,0.44021210028667,0.9302000966072995,0.9431520727466036,0.7538599711583697,0.6,"{0.2: 0.13205120143651447, 0.3: 0.1603502657662215, 0.4: 0.5719596723978817, 0.5: 0.8399329981730768, 0.6: 0.8835288197232442, 0.7: 0.8601237922597141, 0.8: 0.7967946501815373}"
19,0.00024742647851355997,1.4837785482406616,0.6446608662605285,0.21457085907459258,1,0.8642857142857143,0.29292073158117443,0.8882253069278631,0.45541327175986523,0.9334410982161031,0.9538562252016265,0.7177267357739573,0.6,"{0.2: 0.13206936199130745, 0.3: 0.22351836766995356, 0.4: 0.6467591825143514, 0.5: 0.8479545169083914, 0.6: 0.8882253069278631, 0.7: 0.8715029552397764, 0.8: 0.8189634173254218}"
24,0.0002083780601392783,2.7450422763824465,1.211614441871643,0.3838796138763428,2,0.8285714285714285,0.272516110768685,0.8921268858060611,0.47088465036726335,0.935609516006036,0.9578888530458625,0.6863208417097815,0.6,"{0.2: 0.1320945552057679, 0.3: 0.3389048759761413, 0.4: 0.7184235205227305, 0.5: 0.8581016479035796, 0.6: 0.8921268858060611, 0.7: 0.8822452390738187, 0.8: 0.8384242634183857}"
29,0.00016410462533175042,2.624120664596558,1.1564695835113525,0.35227553844451903,2,0.7928571428571429,0.2529091865588457,0.8974737388943984,0.4914107898455407,0.9386670283626339,0.9610352757405343,0.6456173719678902,0.6,"{0.2: 0.13237055577411277, 0.3: 0.4446580368095502, 0.4: 0.7744044313262884, 0.5: 0.8690549510446421, 0.6: 0.8974737388943984, 0.7: 0.8895954137101929, 0.8: 0.8522592506122169}"
34,0.00011893996636109602,2.5440295696258546,1.1279131650924683,0.33440542221069336,2,0.7571428571428571,0.23406201983109498,0.9011545147165797,0.5087634720112941,0.9405261051387936,0.9628184936922773,0.6151406518979297,0.6,"{0.2: 0.1350536851350593, 0.3: 0.5286135996254356, 0.4: 0.8130367718900565, 0.5: 0.8784195091158847, 0.6: 0.9011545147165797, 0.7: 0.8953189284819536, 0.8: 0.8643803738578715}"
39,7.730511472804544e-05,2.521445655822754,1.1185816049575805,0.32020953893661497,2,0.7214285714285714,0.21658545961746803,0.9053142910685639,0.5245477212107472,0.9425938718490011,0.964793743515408,0.5834986282835392,0.6,"{0.2: 0.14986746652709354, 0.3: 0.5975671731698643, 0.4: 0.8359130112368922, 0.5: 0.8876304064495227, 0.6: 0.9053142910685639, 0.7: 0.9003168073721068, 0.8: 0.8751606806370364}"
44,4.327557979751057e-05,3.5325000286102295,1.5763066768646241,0.4363474309444427,3,0.6857142857142857,0.2003947213674203,0.9094714185397473,0.5467145004823558,0.9445766837999084,0.9658573302061902,0.551996676481144,0.6,"{0.2: 0.20429159965455723, 0.3: 0.6580022568757601, 0.4: 0.8557919742092972, 0.5: 0.8946327681861854, 0.6: 0.9094714185397473, 0.7: 0.9043643945902287, 0.8: 0.8834960335756412}"
49,2.0182409546203555e-05,3.5394707679748536,1.5728137969970704,0.4376519501209259,3,0.65,0.18597390254338583,0.9133137206623391,0.5654151742487316,0.9465619679695612,0.9664598032090864,0.5230847238582828,0.6,"{0.2: 0.3175887942239771, 0.3: 0.7204690534735985, 0.4: 0.8708473679256823, 0.5: 0.9009929190724415, 0.6: 0.9133137206623391, 0.7: 0.9072419132702885, 0.8: 0.8907915963478865}"
